2024-04-16 00:03:08.111 [DEBUG]  jwt_spring_security [restartedMain] org.hibernate.SQL                                  - alter table user_role add constraint FKj345gk1bovqvfame88rcx7yyx foreign key (user_id) references users (user_id)
2024-04-16 00:03:08.121 [INFO]  jwt_spring_security [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-04-16 00:03:08.122 [INFO]  jwt_spring_security [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 00:03:08.151 [INFO]  jwt_spring_security [restartedMain] o.s.s.web.DefaultSecurityFilterChain               - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@657a11, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4c963e67, org.springframework.security.web.context.SecurityContextHolderFilter@1a98bb08, org.springframework.security.web.header.HeaderWriterFilter@6cf90d57, org.springframework.security.web.authentication.logout.LogoutFilter@7327e311, com.spring.jwt.config.filter.JwtUsernamePasswordAuthenticationFilter@20115b29, com.spring.jwt.config.filter.JwtTokenAuthenticationFilter@ceb0870, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@62eef9af, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@46d9d310, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27f54e0e, org.springframework.security.web.session.SessionManagementFilter@5a2615a3, org.springframework.security.web.access.ExceptionTranslationFilter@44b7872b, org.springframework.security.web.access.intercept.AuthorizationFilter@6e5851da]
2024-04-16 00:03:08.157 [INFO]  jwt_spring_security [restartedMain] o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729
2024-04-16 00:03:08.159 [INFO]  jwt_spring_security [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat started on port(s): 4000 (http) with context path ''
2024-04-16 00:03:08.160 [INFO]  jwt_spring_security [restartedMain] c.s.jwt.JwtWithSpringSecurityApplication           - Started JwtWithSpringSecurityApplication in 0.158 seconds (process running for 35707.53)
2024-04-16 00:03:08.160 [INFO]  jwt_spring_security [restartedMain] o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  - Condition evaluation unchanged
2024-04-16 00:03:11.171 [INFO]  jwt_spring_security [File Watcher] o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-04-16 00:03:11.174 [INFO]  jwt_spring_security [Thread-262] o.apache.catalina.core.StandardService             - Stopping service [Tomcat]
2024-04-16 00:03:11.175 [INFO]  jwt_spring_security [Thread-262] o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 00:03:11.176 [INFO]  jwt_spring_security [Thread-262] com.zaxxer.hikari.HikariDataSource                 - HikariCP - Shutdown initiated...
2024-04-16 00:03:11.176 [INFO]  jwt_spring_security [Thread-262] com.zaxxer.hikari.HikariDataSource                 - HikariCP - Shutdown completed.
2024-04-16 00:03:11.224 [INFO]  jwt_spring_security [restartedMain] c.s.jwt.JwtWithSpringSecurityApplication           - Starting JwtWithSpringSecurityApplication using Java 17.0.7 with PID 47149 (/Users/asimsharf/JAVA_PROJECTS/spring-security-jwt/target/classes started by asimsharf in /Users/asimsharf/JAVA_PROJECTS/spring-security-jwt)
2024-04-16 00:03:11.224 [INFO]  jwt_spring_security [restartedMain] c.s.jwt.JwtWithSpringSecurityApplication           - No active profile set, falling back to 1 default profile: "default"
2024-04-16 00:03:11.255 [INFO]  jwt_spring_security [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-16 00:03:11.260 [INFO]  jwt_spring_security [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 4 ms. Found 2 JPA repository interfaces.
2024-04-16 00:03:11.276 [INFO]  jwt_spring_security [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat initialized with port(s): 4000 (http)
2024-04-16 00:03:11.276 [INFO]  jwt_spring_security [restartedMain] o.apache.catalina.core.StandardService             - Starting service [Tomcat]
2024-04-16 00:03:11.276 [INFO]  jwt_spring_security [restartedMain] org.apache.catalina.core.StandardEngine            - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-04-16 00:03:11.279 [INFO]  jwt_spring_security [restartedMain] o.a.c.c.C.[Tomcat-45].[localhost].[/]              - Initializing Spring embedded WebApplicationContext
2024-04-16 00:03:11.279 [INFO]  jwt_spring_security [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 54 ms
